"","Date","Close.Last","Volume","Open","High","Low","diff","norm"
"384","05/03/2020",203.96,"N/A",216.77,210.63,202.35,8.28,0.0156879501892321
"385","05/02/2020",218.05,"N/A",212.18,218.74,213.61,5.13,0.00927847637651081
"386","05/01/2020",213.24,"N/A",209.97,213.37,211.25,2.12,0.00315386806657716
"387","04/30/2020",208.09,"N/A",218.64,210.29,206.06,4.22999999999999,0.00744719814430472
"388","04/29/2020",224.41,"N/A",198.04,224.41,214.36,10.05,0.019289464045904
"389","04/28/2020",198.21,"N/A",194.06,199.14,196.45,2.69,0.004313677613641
"390","04/27/2020",194.22,"N/A",197.78,196.21,192.65,3.56,0.00608391323810689
"391","04/26/2020",197.28,"N/A",194.67,198.8,196.69,2.11000000000001,0.00313352053066378
"392","04/25/2020",194.47,"N/A",186.78,195.32,193.66,1.66,0.0022178814145607
"393","04/24/2020",187.29,"N/A",188.42,187.67,186.03,1.63999999999999,0.00217718634273388
"394","04/23/2020",188.19,"N/A",183.93,189.03,185.19,3.84,0.00665364424368211
"395","04/22/2020",183.93,"N/A",171.64,186.5,181.47,5.03,0.00907500101737682
"396","04/21/2020",171.14,"N/A",171.14,172.04,169.93,2.10999999999999,0.00313352053066372
"397","04/20/2020",171.69,"N/A",183.41,173.5,169.85,3.65000000000001,0.0062670410613275
"398","04/19/2020",183.88,"N/A",187.28,184.16,178.9,5.25999999999999,0.00954299434338502
"399","04/18/2020",187.02,"N/A",173.34,188.23,184.82,3.41,0.00577870019940586
"400","04/17/2020",172.71,"N/A",170.96,173.95,170.61,3.33999999999997,0.00563626744801201
"401","04/16/2020",171.42,"N/A",153.09,173.14,170.19,2.94999999999999,0.0048427135473894
"402","04/15/2020",153.08,"N/A",159.8,153.55,148.91,4.64000000000001,0.00828144711675421
"403","04/14/2020",160.06,"N/A",157.44,160.13,155.94,4.19,0.00736580800065113
"404","04/13/2020",157.98,"N/A",153.94,158.35,155.52,2.82999999999998,0.00459854311642858
"405","04/12/2020",152.56,"N/A",156.91,158.76,150.6,8.16,0.0154437797582713
"406","04/11/2020",155.9,"N/A",159.81,159.36,155.75,3.61000000000001,0.00618565091767391
"407","04/10/2020",159.77,"N/A",168.29,160.36,157.75,2.61000000000001,0.00415089732633382
"408","04/09/2020",163.45,"N/A",170.21,170.1,163.22,6.88,0.012839295161356
"409","04/08/2020",170.26,"N/A",168.76,173.18,169.87,3.31,0.00557522484027186
"410","04/07/2020",172.2,"N/A",169.92,172.85,163.73,9.12,0.0173971432059578
"411","04/06/2020",170.57,"N/A",143.6,175.78,167.58,8.19999999999999,0.0155251699019249
"412","04/05/2020",144.01,"N/A",144.46,144.55,142.55,2,0.00290969763561634
"413","04/04/2020",143.9,"N/A",139.92,145.26,143.44,1.81999999999999,0.00254344198917511
"414","04/03/2020",140,"N/A",142.26,142.02,139.36,2.66,0.00425263500590079
"415","04/02/2020",141.99,"N/A",136.22,142.7,140.42,2.28,0.00347942864119157
"416","04/01/2020",135.73,"N/A",132.48,137.93,135.26,2.67000000000002,0.00427298254181423
"417","03/31/2020",132.84,"N/A",133,133.4,131.27,2.13,0.00317421560249054
"418","03/30/2020",132.45,"N/A",127.01,134,131.14,2.86000000000001,0.00465958572416885
"419","03/29/2020",126.85,"N/A",130.02,127.45,125.02,2.43000000000001,0.00378464167989259
"420","03/28/2020",130.17,"N/A",126.5,131.74,129.26,2.48000000000002,0.00388637935945962
"421","03/27/2020",126.5,"N/A",139.26,132.3,125.48,6.82000000000001,0.0127172099458756
"422","03/26/2020",139.27,"N/A",137.06,140.99,137.95,3.04000000000002,0.00502584137061008
"423","03/25/2020",136.84,"N/A",136.25,137.85,135.32,2.53,0.00398811703902659
"424","03/24/2020",136.54,"N/A",134.12,141.1,135.35,5.75,0.0105400236031417
"425","03/23/2020",134.7,"N/A",125.33,136.74,134.39,2.35000000000002,0.00362186139258542
"426","03/22/2020",125.4,"N/A",135.91,125.95,120.2,5.75,0.0105400236031417
"427","03/21/2020",135.56,"N/A",134.12,135.76,130.75,5.00999999999999,0.00903430594554999
"428","03/20/2020",133.26,"N/A",133.78,137.33,129.92,7.41000000000003,0.0139177145647663
"429","03/19/2020",133.81,"N/A",116.03,138.58,132.74,5.84,0.0107231514263623
"430","03/18/2020",116.18,"N/A",116.98,119.21,115.61,3.59999999999999,0.00616530338176047
"431","03/17/2020",116.84,"N/A",117.45,117.36,115.24,2.12,0.00315386806657716
"432","03/16/2020",117.36,"N/A",122.51,120.6,109.67,10.93,0.0210800472062833
"433","03/15/2020",122.03,"N/A",121.2,124.38,120.77,3.61,0.00618565091767389
"434","03/14/2020",121.21,"N/A",133.4,123.75,120.93,2.81999999999999,0.0045781955805152
"435","03/13/2020",133.74,"N/A",124.09,134.58,129.72,4.86000000000001,0.00872909290684903
"436","03/12/2020",124.23,"N/A",183.27,137.06,88.5,48.56,0.0976478248484109
"437","03/11/2020",182.97,"N/A",201.72,195.4,182.95,12.45,0.0241728726651203
"438","03/10/2020",201.6,"N/A",202.36,202.96,200.1,2.86000000000001,0.00465958572416885
"439","03/09/2020",202.58,"N/A",201.43,204.6,200.13,4.47,0.00793553900622636
"440","03/08/2020",200.89,"N/A",231.65,206.62,198.25,8.37,0.0158710780124527
"441","03/07/2020",231.68,"N/A",243.09,237.3,229.75,7.55000000000001,0.0142025800675539
"442","03/06/2020",243.19,"N/A",229.11,245.85,242.39,3.46000000000001,0.00588043787897289
"443","03/05/2020",229.17,"N/A",226.72,230.69,227.71,2.97999999999999,0.00490375615512961
"444","03/04/2020",224.23,"N/A",228.6,228.66,221.74,6.91999999999999,0.0129206853050096
"445","03/03/2020",227.2,"N/A",229.86,228.66,222.66,6,0.0110487120009767
"446","03/02/2020",229.92,"N/A",220.99,232.15,227.76,4.39000000000001,0.00777275871891919
"447","03/01/2020",221.05,"N/A",222.55,221.89,216.23,5.66,0.0103568957799211
"448","02/29/2020",222.75,"N/A",231.89,225.34,216.48,8.86000000000001,0.0168681072722094
"449","02/28/2020",231.91,"N/A",229.18,232.45,226.79,5.66,0.0103568957799211
"450","02/27/2020",230.27,"N/A",218.2,234.55,227,7.55000000000001,0.0142025800675539
"451","02/26/2020",218.28,"N/A",240.59,224.52,210.36,14.16,0.0276523013063118
"452","02/25/2020",240.6,"N/A",261.33,250.05,236.8,13.25,0.0258006755381924
"453","02/24/2020",261.34,"N/A",267.69,266.17,261.08,5.09000000000003,0.00919708623285728
"454","02/23/2020",267.13,"N/A",266.17,276.81,266.08,10.73,0.0206730964880154
"455","02/22/2020",266.02,"N/A",261.06,267.9,261.24,6.65999999999997,0.0123916493712611
"456","02/21/2020",260.78,"N/A",260.83,266.71,260.75,5.95999999999998,0.0109673218573231
"457","02/20/2020",260.87,"N/A",260.55,263.69,254.15,9.53999999999999,0.0182517397143206
"458","02/19/2020",260.24,"N/A",278.69,264.22,257.67,6.55000000000001,0.0121678264762138
"459","02/18/2020",278.91,"N/A",270.99,282.61,277.7,4.91000000000003,0.00883083058641605
"460","02/17/2020",248.81,"N/A",265.86,261.25,242.11,19.14,0.0377853741911855
"461","02/16/2020",245.2,"N/A",272.75,261.25,242.11,19.14,0.0377853741911855
"462","02/15/2020",271.87,"N/A",281.25,273.81,258.89,14.92,0.0291987140357303
"463","02/14/2020",282.01,"N/A",266.87,287.93,278.59,9.34000000000003,0.0178447889960527
"464","02/13/2020",267.16,"N/A",269.48,269.9,264.84,5.06,0.00913604362511702
"465","02/12/2020",269.35,"N/A",245.01,274.21,265.23,8.97999999999996,0.0171122777031701
"466","02/11/2020",245.68,"N/A",218.56,247.11,236.73,10.38,0.0199609327310463
"467","02/10/2020",218.39,"N/A",224.59,223.44,218.22,5.22,0.00946160419973143
