Time,price,volume
2020-05-25,9223.938832,2199618826
2020-06-01,9668.809946,3082292793
2020-06-08,9589.755983,2236699507
2020-06-15,9378.336894,1741892454
2020-06-22,9320.076042,1958107772
2020-06-29,9141.74622,1301355656
2020-07-06,9269.624294,1367359490
2020-07-13,9194.026279,1179024048
2020-07-20,9490.401513,1888531863
2020-07-27,11098.01797,4867658150
2020-08-03,11540.25961,2662615466
2020-08-10,11715.85206,2883419932
2020-08-17,11823.25106,2844427978
2020-08-24,11510.29561,1898405511
2020-08-31,11009.12042,3706730277
2020-09-07,10276.17369,2041033089
2020-09-14,10852.77966,1903545931
2020-09-21,10595.56604,1803514846
2020-09-28,10689.75012,1589757964
2020-10-05,10924.66746,1674508173
2020-10-12,11411.62483,1673667575
2020-10-19,12552.47234,3309946685
2020-10-26,13448.29754,3611118834
2020-11-02,14566.41291,5341064988
2020-11-09,15791.13069,4416054038
2020-11-16,17803.76094,6326618707
2020-11-23,18005.71564,7440017321
2020-11-30,19097.25942,5840691129
2020-12-07,18605.9393,4443185288
2020-12-14,21571.83942,9240710456
2020-12-21,24195.36209,9837789850
2020-12-28,29155.35553,14179402463
2021-01-04,36681.38673,25608987003
2021-01-11,35963.39822,25342196673
2021-01-18,34003.69375,14151879918
2021-01-25,33177.09563,17460218296
2021-02-01,36953.71098,12098274425
2021-02-08,46183.06927,18535290532
2021-02-15,52286.71285,16682066434
2021-02-22,48899.08811,26177552006
2021-03-01,48936.73048,13720429570
2021-03-08,56074.75158,17151155859
2021-03-15,57391.4014,16304823426
2021-03-22,54731.4123,14474594793
2021-03-29,58396.71835,11239127543
2021-04-05,58365.64637,10107141873
2021-04-12,61126.8098,18660514850
2021-04-19,53020.23816,17311295074
2021-04-26,55305.58451,11694672338
2021-05-03,57094.34173,15248739557
2021-05-10,52306.22359,19240764339
